TITLE,AUTHOR,FILEPATHS,GENRE
Monkey On His Back,['Charles V. De Vet'],['./CORPUS/ScienceFiction/26569.txt'],{'Science Fiction'}
The First Men In The Moon,['H.G. Wells'],"['./CORPUS/Adventure/1013.txt', './CORPUS/Horror/1013.txt', './CORPUS/ScienceFiction/1013.txt']","{'Adventure', 'Horror', 'Science Fiction'}"
The Box-Car Children,['Gertrude Chandler Warner'],['./CORPUS/CrimeMystery/42796.txt'],{'Crime and Mystery'}
Shepherd of the Planets,['Alan Mattox'],['./CORPUS/ScienceFiction/28048.txt'],{'Science Fiction'}
Education of a Martian,['Joseph Shallit'],['./CORPUS/ScienceFiction/50877.txt'],{'Science Fiction'}
The Runaway Skyscraper,['Murray Leinster'],['./CORPUS/ScienceFiction/17355.txt'],{'Science Fiction'}
Super Man and the Bug Out,['Cory Doctorow'],['./CORPUS/ScienceFiction/17030.txt'],{'Science Fiction'}
The Raid on the Termites,['Paul Ernst'],['./CORPUS/ScienceFiction/27248.txt'],{'Science Fiction'}
The Instant of Now,['Irving E. Cox Jr.'],['./CORPUS/ScienceFiction/31651.txt'],{'Science Fiction'}
Revenge,['Arthur Porges'],['./CORPUS/ScienceFiction/27756.txt'],{'Science Fiction'}
The Range Dwellers,['B.M. Bower'],['./CORPUS/Western/14334.txt'],{'Western'}
The Merry Adventures of Robin Hood,['Howard Pyle'],"['./CORPUS/Adventure/10148.txt', './CORPUS/Fantasy/10148.txt']","{'Adventure', 'Fantasy'}"
Cum Grano Salis,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/25234.txt'],{'Science Fiction'}
Heist Job on Thizar,['Gordon Randall Garrett'],['./CORPUS/ScienceFiction/25028.txt'],{'Science Fiction'}
Space Tug,['Murray Leinster'],"['./CORPUS/Adventure/18719.txt', './CORPUS/ScienceFiction/18719.txt']","{'Adventure', 'Science Fiction'}"
Astoria,['Washington Irving'],['./CORPUS/Western/1371.txt'],{'Western'}
The Wallet of Kai Lung,['Ernest Bramah'],['./CORPUS/Fantasy/1076.txt'],{'Fantasy'}
The Mystery of 31 New Inn,['R. Austin Freeman'],['./CORPUS/CrimeMystery/12187.txt'],{'Crime and Mystery'}
The Lone Star Ranger,['Zane Grey'],['./CORPUS/Western/1027.txt'],{'Western'}
This One Problem,['M.C. Pease'],['./CORPUS/ScienceFiction/29354.txt'],{'Science Fiction'}
