TITLE,AUTHOR,FILEPATH
The United States' Constitution,[' Founding Fathers'],./data/0/5/5.txt
"Lincoln's Second Inaugural Address, March 4, 1865",['Abraham Lincoln'],./data/0/8/8.txt
"Lincoln's First Inaugural Address, March 4, 1861",['Abraham Lincoln'],./data/0/9/9.txt
The Magna Carta,['Anonymous'],./data/1/0/0/0/10000/10000.txt
Apocolocyntosis,['Lucius Seneca'],./data/1/0/0/0/10001/10001.txt
The House on the Borderland,['William Hope Hodgson'],./data/1/0/0/0/10002/10002.txt
"My First Years As A Frenchwoman, 1876-1879",['Mary King Waddington'],./data/1/0/0/0/10003/10003.txt
The Warriors,"['Lindsay', 'Anna Robertson Brown']",./data/1/0/0/0/10004/10004.txt
A Voyage to the Moon,['George Tucker'],./data/1/0/0/0/10005/10005.txt
La Fiammetta,['Giovanni Boccaccio'],./data/1/0/0/0/10006/10006.txt
Carmilla,['J. Sheridan LeFanu'],./data/1/0/0/0/10007/10007.txt
The Mystery,"['Stewart Edward White', 'Samuel Hopkins Adams']",./data/1/0/0/0/10008/10008.txt
Wild Northern Scenes,['S.H. Hammond'],./data/1/0/0/0/10009/10009.txt
The Eulogies of Howard,['William Hayley'],./data/1/0/0/1/10010/10010.txt
365 Foreign Dishes,['Unknown'],./data/1/0/0/1/10011/10011.txt
The Mountains of California,['John Muir'],./data/1/0/0/1/10012/10012.txt
"Punchinello, Vol. 1, No. 9, May 28, 1870",['Various'],./data/1/0/0/1/10013/10013.txt
"Punchinello, Vol. 1, No. 18, July 30, 1870",['Various'],./data/1/0/0/1/10014/10014.txt
"Punchinello, Vol. 1, No. 19, August 6, 1870",['Various'],./data/1/0/0/1/10015/10015.txt
"Punchinello Vol. 1, No. 21, August 20, 1870",['Various'],./data/1/0/0/1/10016/10016.txt
"Punchinello, Vol. 1, No. 23,  September 3, 1870",['Various'],./data/1/0/0/1/10017/10017.txt
"Punchinello, Vol. 1, No. 5,  April 30, 1870",['Various'],./data/1/0/0/1/10018/10018.txt
"Punchinello, Vol. 1, No. 22, August 27, 1870",['Various'],./data/1/0/0/1/10019/10019.txt
"Divine Comedy, Longfellow's Translation, Hell",['Dante Alighieri'],./data/1/0/0/1001/1001.txt
Hell,['Dante Alighieri'],./data/1/0/0/1005/1005.txt
The Divine Comedy of Dante:  Purgatory,['Dante Alighieri'],./data/1/0/0/1006/1006.txt
The Divine Comedy of Dante:  Paradise,['Dante Alighieri'],./data/1/0/0/1007/1007.txt
"The Strand Magazine: Volume VII, Issue 37. January, 1894.",['George Newnes'],./data/1/0/0/2/10020/10020.txt
Tenterhooks,['Ada Leverson'],./data/1/0/0/2/10021/10021.txt
White Queen of the Cannibals: The Story of Mary Slessor,['A.J. Bueltmann'],./data/1/0/0/2/10022/10022/10022.txt
There's Pippins And Cheese To Come,['Charles S. Brooks'],./data/1/0/0/2/10023/10023.txt
Beneath the Banner,['F.J. Cross'],./data/1/0/0/2/10024/10024.txt
Gaslight Sonatas,['Fannie  Hurst'],./data/1/0/0/2/10025/10025.txt
"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",[' Various'],./data/1/0/0/2/10026/10026.txt
The Triple Alliance,['Harold Avery'],./data/1/0/0/2/10027/10027.txt
The Hunt Ball Mystery,['William Magnay'],./data/1/0/0/2/10029/10029.txt
The Life of Hon. William F. Cody,['William F. Cody'],./data/1/0/0/3/10030/10030.txt
Edgar Allan Poe's Complete Poetical Works,['Edgar Allan Poe'],./data/1/0/0/3/10031/10031.txt
"Punchinello, Vol. 1, No. 24, September 10, 1870",['Various'],./data/1/0/0/3/10032/10032.txt
"Punchinello, Vol. 1, No. 25, September 17, 1870",['Various'],./data/1/0/0/3/10033/10033.txt
"Punchinello, Vol. 1, No. 26, September 24, 1870",['Various'],./data/1/0/0/3/10034/10034.txt
"Punchinello, Vol. 2, No. 27, October 1, 1870",['Various'],./data/1/0/0/3/10035/10035.txt
"Punchinello Vol. 2, No. 28, October 8, 1870",['Various'],./data/1/0/0/3/10036/10036.txt
A Beautiful Possibility,['Edith Ferguson Black'],./data/1/0/0/3/10037/10037.txt
The Magnetic North,['Elizabeth Robins '],./data/1/0/0/3/10038/10038.txt
"The Works of Aphra Behn, Vol. III",['Aphra Behn'],./data/1/0/0/3/10039/10039.txt
Alaska Indian Dictionary,['Charles A. Lee'],./data/1/0/0/4/10040/10040.txt
The Rivet in Grandfather's Neck,['James Branch Cabell'],./data/1/0/0/4/10041/10041.txt
The Child Under Eight,"['E.R. Murray', 'Henrietta Brown Smith']",./data/1/0/0/4/10042/10042.txt
Klondyke Nuggets,['Joseph Ladue'],./data/1/0/0/4/10043/10043.txt
The Father of British Canada: A Chronicle of Carleton,['William Wood'],./data/1/0/0/4/10044/10044/10044.txt
Dave Darrin's Second Year at Annapolis,['H. Irving Hancock'],./data/1/0/0/4/10045/10045.txt
Salute to Adventurers,['John Buchan'],./data/1/0/0/4/10046/10046.txt
"Punchinello, Vol. 2, No. 29, October 15, 1870",['Various'],./data/1/0/0/4/10047/10047.txt
Billie Bradley and Her Inheritance,['Janet D. Wheeler'],./data/1/0/0/4/10048/10048.txt
Old Lady Mary,['Margaret O.  Oliphant'],./data/1/0/0/4/10049/10049.txt
A Little Pilgrim,['Margaret O.  Oliphant'],./data/1/0/0/5/10050/10050.txt
The Little Pilgrim: Further Experiences.,['Margaret O.  Oliphant'],./data/1/0/0/5/10051/10051.txt
"The Open Door, and the Portrait.",['Margaret O.  Oliphant'],./data/1/0/0/5/10052/10052.txt
Chinese Literature,['Anonymous'],./data/1/0/0/5/10056/10056.txt
The Secret of the Tower,['Anthony Hope'],./data/1/0/0/5/10057/10057/10057.txt
The Divine Office,['Rev. E.J. Quigley'],./data/1/0/0/5/10058/10058/10058.txt
Aunt Jane's Nieces on Vacation,['Edith Van Dyne'],./data/1/0/0/5/10059/10059.txt
Discourses,['Thomas H. Huxley'],./data/1/0/0/6/10060/10060.txt
The Iron Game,['Henry Francis Keenan'],./data/1/0/0/6/10062/10062.txt
Happiness and Marriage,['Elizabeth  Towne'],./data/1/0/0/6/10063/10063.txt
