TITLE,AUTHOR,FILEPATH,GENRE
The House on the Borderland,['William Hope Hodgson'],./data/1/0/0/0/10002/10002.txt,Fantasy
The House on the Borderland,['William Hope Hodgson'],./data/1/0/0/0/10002/10002.txt,Horror
The House on the Borderland,['William Hope Hodgson'],./data/1/0/0/0/10002/10002.txt,Science Fiction
Carmilla,['J. Sheridan LeFanu'],./data/1/0/0/0/10007/10007.txt,Horror
The Rivet in Grandfather's Neck,['James Branch Cabell'],./data/1/0/0/4/10041/10041.txt,Fantasy
Gunman's Reckoning,['Max Brand'],./data/1/0/0/6/10066/10066/10066.txt,Western
The First Men In The Moon,['H.G. Wells'],./data/1/0/1/1013/1013.txt,Science Fiction
The Lure of the Dim Trails,['B.M. Bower'],./data/1/0/1/1014/1014.txt,Western
The Merry Adventures of Robin Hood,['Howard Pyle'],./data/1/0/1/4/10148/10148.txt,Fantasy
Dracula's Guest,['Bram Stoker'],./data/1/0/1/5/10150/10150.txt,Horror
Around the World in 80 Days,['Jules Verne'],./data/1/0/103/103.txt,Adventure
Jungle Tales of Tarzan,['Edgar Rice Burroughs'],./data/1/0/106/106.txt,Adventure
The Desert of Wheat,['Zane Grey'],./data/1/0/2/0/10201/10201/10201.txt,Western
The Lone Star Ranger,['Zane Grey'],./data/1/0/2/1027/1027.txt,Western
Bull Hunter,['Max Brand'],./data/1/0/3/2/10324/10324/10324.txt,Western
Caesar Dies,['Talbot Mundy'],./data/1/0/4/2/10422/10422.txt,Adventure
The World Set Free,['Herbert George Wells'],./data/1/0/5/1059/1059.txt,Science Fiction
"The Boats of the ""Glen Carrig",['William Hope Hodgson'],./data/1/0/5/4/10542/10542.txt,Horror
Affair in Araby,['Talbot Mundy'],./data/1/0/5/5/10551/10551.txt,Adventure
The Rangeland Avenger,['Max Brand'],./data/1/0/6/0/10601/10601.txt,Western
The Night Land,['William Hope Hodgson'],./data/1/0/6/6/10662/10662.txt,Science Fiction
The Night Land,['William Hope Hodgson'],./data/1/0/6/6/10662/10662.txt,Horror
The Night Land,['William Hope Hodgson'],./data/1/0/6/6/10662/10662.txt,Fantasy
The Wallet of Kai Lung,['Ernest Bramah'],./data/1/0/7/1076/1076.txt,Fantasy
The Mirror of Kong Ho,['Ernest Bramah'],./data/1/0/7/1077/1077.txt,Fantasy
Moonfleet,['J. Meade Falkner'],./data/1/0/7/4/10743/10743.txt,Adventure
The Story of the Champions of the Round Table,['Howard Pyle'],./data/1/0/7/4/10745/10745.txt,Fantasy
The Sword of Welleran and Other Stories,['Lord Dunsany'],./data/1/0/8/0/10806/10806.txt,Fantasy
The Eagle's Shadow,['James Branch Cabell'],./data/1/0/8/8/10882/10882/10882.txt,Fantasy
The Untamed,['Max Brand'],./data/1/0/8/8/10886/10886.txt,Western
The Wendigo,['Algernon Blackwood'],./data/1/0/8/9/10897/10897.txt,Horror
The Light of Western Stars,['Zane Grey'],./data/1/0/9/1095/1095.txt,Western
The Ghost Pirates,['William Hope Hodgson'],./data/1/0/9/6/10966/10966.txt,Science Fiction
The Damned,['Algernon Blackwood'],./data/1/1/0/7/11074/11074.txt,Horror
